,filename,onsets_essentia-hfc,onsets_essentia-complex,onsets_essentia-phase,onsets_essentia-flux,onsets_essentia-melflux,onsets_essentia-rms,onsets_MIRtoolbox-std,onsets_librosa-std
0,audio/bachGalling1964/Bach_1_Galling_5_minor_bachGalling1964.wav,135,133,192,136,195,318,201,135
0,audio/bachGalling1964/Bach_1_Galling_6_Major_bachGalling1964.wav,94,103,114,101,124,153,112,106
0,audio/bachGalling1964/Bach_1_Galling_6_minor_bachGalling1964.wav,109,128,113,127,144,157,123,126
0,audio/bachGalling1964/Bach_1_Galling_7_Major_bachGalling1964.wav,120,169,123,157,178,183,171,131
0,audio/bachGalling1964/Bach_1_Galling_7_minor_bachGalling1964.wav,145,180,180,181,242,302,243,215
0,audio/bachGalling1964/Bach_1_Galling_8_Major_bachGalling1964.wav,57,66,67,69,105,86,61,57
0,audio/bachGalling1964/Bach_1_Galling_8_minor_bachGalling1964.wav,88,92,104,93,142,204,114,89
0,audio/bachGalling1964/Bach_1_Galling_9_Major_bachGalling1964.wav,107,126,111,125,145,152,124,114
0,audio/bachGalling1964/Bach_1_Galling_9_minor_bachGalling1964.wav,96,104,101,103,127,163,122,98
0,audio/bachGould1971/Bach_1_Gould_0_Major_bachGould1971.wav,106,131,141,139,217,153,138,132
0,audio/bachGould1971/Bach_1_Gould_0_minor_bachGould1971.wav,128,128,126,128,138,137,128,128
0,audio/bachGould1971/Bach_1_Gould_10_Major_bachGould1971.wav,71,106,129,106,152,165,169,141
0,audio/bachGould1971/Bach_1_Gould_10_minor_bachGould1971.wav,91,115,101,140,371,172,91,130
0,audio/bachGould1971/Bach_1_Gould_11_Major_bachGould1971.wav,89,121,112,121,149,161,110,151
0,audio/bachGould1971/Bach_1_Gould_11_minor_bachGould1971.wav,67,67,82,68,149,77,76,70
0,audio/bachGould1971/Bach_1_Gould_1_Major_bachGould1971.wav,19,34,30,34,40,33,30,36
0,audio/bachGould1971/Bach_1_Gould_1_minor_bachGould1971.wav,72,86,107,90,151,125,89,92
0,audio/bachGould1971/Bach_1_Gould_2_Major_bachGould1971.wav,44,71,71,69,96,86,85,74
0,audio/bachGould1971/Bach_1_Gould_2_minor_bachGould1971.wav,78,150,134,143,183,169,145,160
0,audio/bachGould1971/Bach_1_Gould_3_Major_bachGould1971.wav,119,150,196,155,298,163,142,172
0,audio/bachGould1971/Bach_1_Gould_3_minor_bachGould1971.wav,61,84,70,105,192,116,62,100
